,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,fit_to,gaze,gaze_bias,inv_temp,model_descr,sub_ID,sub_ind
26,107.463,-41.255,0.458,0.458,13.601,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.955,,,,,,,,,0.82,0.018000000000000002,-3.192,,,,,,joint,0,0.0,0.35,All Motives,7026,230
27,-4.467,14.71,1.023,1.023,2.366,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.053,,,,,,,,,0.713,1.497,0.215,,,,,,joint,0,0.0,0.4920000000000001,All Motives,7027,231
28,50.93,-12.989,1.452,1.452,5.622999999999998,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.928,,,,,,,,,2.084,-1.067,0.248,,,,,,joint,0,0.0,0.522,All Motives,7028,232
29,28.067,-1.557,1.141,1.141,3.934,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.657,,,,,,,,,1.796,-0.275,-0.006999999999999999,,,,,,joint,0,0.0,0.388,All Motives,7029,233
30,29.923,-2.485,0.828,0.828,4.05,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.699,,,,,,,,,1.828,-1.654,0.32,,,,,,joint,0,0.0,0.463,All Motives,7030,234
31,25.052,-0.05,0.942,0.942,3.753,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.989,,,,,,,,,0.648,-0.828,-0.611,,,,,,joint,0,0.0,0.935,All Motives,7031,235
32,71.419,-23.233,0.118,0.118,7.744,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.236,,,,,,,,,-1.058,-0.777,2.865,,,,,,joint,0,0.0,0.131,All Motives,8001,236
33,22.555,1.199,0.706,0.706,3.609,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.673,,,,,,,,,1.19,-1.798,0.745,,,,,,joint,0,0.0,0.299,All Motives,8002,237
34,9.599,7.677,1.663,1.663,2.948,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.023,,,,,,,,,1.346,0.257,0.336,,,,,,joint,0,0.0,0.426,All Motives,8003,238
35,27.776,-1.411,1.051,1.051,3.916,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.807,,,,,,,,,1.219,-1.248,0.222,,,,,,joint,0,0.0,0.485,All Motives,8004,239
