,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,cost_type,SSE,LL,BIC
29,230,7026,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,7.382000000000001,7.382000000000001,0.816,0.0,0.0,1.3459999999999999,0.001,1.3459999999999999,1.3459999999999999,0.0,1.3459999999999999,1.3459999999999999,1.3459999999999999,0.0,0.0,17.098,0.0,-0.0,-1.3459999999999999,-0.0,SSE,13.25,-40.42,155.69899999999998
30,231,7027,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.691,4.691,0.48100000000000004,0.0,-0.10400000000000001,-1.7590000000000001,-1.7590000000000001,-1.517,-0.313,0.207,-1.636,-1.518,3.6,3.8110000000000004,-0.20800000000000002,0.10400000000000001,3.602,4.868,0.20800000000000002,1.516,SSE,4.976,-9.081,93.023
31,232,7028,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.3469999999999995,4.3469999999999995,0.981,0.0,1.119,0.256,-0.925,-1.052,0.988,1.052,-1.052,-0.863,0.631,0.413,0.102,-1.052,3.7319999999999998,3.7310000000000003,-0.0,-12.1,SSE,9.181000000000001,-28.680999999999997,132.222
32,233,7029,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.8110000000000004,2.8110000000000004,0.179,0.0,13.075,4.399,-3.762,-4.398,11.519,12.254000000000001,-4.073,0.5579999999999999,14.011,9.675,9.145,-0.27899999999999997,3.4530000000000003,4.398,-5.062,-3.148,SSE,4.986000000000001,-9.146,93.15100000000001
33,234,7030,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.6489999999999996,3.6489999999999996,0.223,0.0,11.242,4.622,4.338,-0.22399999999999998,13.175999999999998,8.707,-2.049,-2.526,5.218999999999999,2.77,2.286,-3.2710000000000004,7.7620000000000005,5.218999999999999,-0.22399999999999998,-2.526,SSE,6.107,-15.636,106.133
34,235,7031,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.648,6.648,0.524,0.0,3.5069999999999997,0.095,-0.191,-1.973,6.194,0.191,-0.287,-0.38299999999999995,4.197,2.801,-1.618,-0.675,1.506,6.194,-0.38299999999999995,-2.362,SSE,7.934,-24.01,122.88
35,236,8001,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.687,4.687,1.92,0.0,0.0,-0.5720000000000001,-0.0,-0.294,0.0,0.473,0.078,-0.026000000000000002,0.381,0.381,-0.381,0.078,-0.322,0.026000000000000002,0.41100000000000003,-0.0,SSE,6.861000000000001,-19.357,113.575
36,237,8002,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.468999999999999,4.468999999999999,0.14800000000000002,0.0,5.321000000000001,9.897,0.675,-3.448,11.067,5.321000000000001,1.354,1.014,1.696,6.125,1.696,-7.415,5.718,4.933,1.014,1.354,SSE,4.364,-4.883,84.626
37,238,8003,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.542000000000001,5.542000000000001,0.218,0.0,4.173,0.23,-0.9229999999999999,-7.975,4.457,1.626,-1.626,-3.1010000000000004,4.173,4.457,-0.23,-0.23,4.173,8.442,0.691,6.742000000000001,SSE,6.377000000000001,-17.021,108.90100000000001
38,239,8004,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.477,5.477,0.136,0.0,6.686,4.159,-4.968999999999999,-5.385,4.561,6.242000000000001,-0.0,-5.809,2.227,5.809,-0.368,-5.809,12.081,10.802999999999999,-5.385,-3.763,SSE,6.797000000000001,-19.059,112.977
39,240,8005,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,7.665,7.665,0.966,0.0,3.7939999999999996,1.208,-0.8170000000000001,-1.07,7.834,1.357,-0.156,-1.138,2.602,1.281,-0.8170000000000001,-0.8170000000000001,1.138,1.004,-1.004,-1.138,SSE,7.006,-20.027,114.913
40,241,8006,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.918,4.918,0.627,0.0,1.6480000000000001,-1.077,0.08,-1.449,1.4480000000000002,0.16,0.08,-1.4480000000000002,3.2960000000000003,1.6480000000000001,0.401,-1.7530000000000001,3.2960000000000003,1.3519999999999999,-0.9890000000000001,-1.166,SSE,7.656000000000001,-22.866,120.59200000000001
41,242,8007,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.6370000000000005,6.6370000000000005,0.505,0.0,-2.177,-0.099,1.798,1.921,2.177,-1.921,2.311,-2.177,2.0469999999999997,8.658,1.921,-8.658999999999999,1.798,2.177,-0.298,1.798,SSE,10.113999999999999,-31.778000000000002,138.417
42,243,8009,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.527,4.527,0.213,0.0,-0.943,0.943,-10.327,-3.9819999999999998,4.266,-0.235,-3.435,-13.839,13.839,12.728,0.0,-0.0,17.219,4.855,4.556,4.266,SSE,6.672000000000001,-18.465,111.789
43,244,8010,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.1160000000000005,5.1160000000000005,1.122,0.0,0.08900000000000001,-0.703,-1.735,-1.735,0.755,-0.503,-0.601,-0.703,1.735,2.09,-0.36200000000000004,-0.045,14.095,2.09,0.703,0.455,SSE,3.628,1.035,72.79
44,245,8011,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.4239999999999995,5.4239999999999995,1.038,0.0,0.341,0.816,-0.934,1.058,1.124,1.058,0.995,1.262,1.413,0.995,-0.242,0.242,2.8369999999999997,14.072000000000001,-1.058,-1.058,SSE,8.898,-27.676,130.213
45,246,8012,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.745,4.745,0.242,0.0,0.83,4.0089999999999995,-2.56,-11.2,13.421,3.753,-9.696,-4.824,11.2,4.0089999999999995,2.335,-1.6769999999999998,9.696,4.272,0.83,-3.023,SSE,6.664,-18.429000000000002,111.71700000000001
46,247,8013,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.278,6.278,0.353,0.0,10.379000000000001,3.112,0.142,-2.926,9.193,3.304,-0.142,-0.142,3.304,9.193,-3.112,0.142,9.193,10.379000000000001,-3.112,-0.284,SSE,8.331,-25.572,126.00399999999999
47,248,8014,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.138999999999999,4.138999999999999,0.17600000000000002,0.0,6.622999999999999,11.728,1.4280000000000002,-4.15,10.425999999999998,5.867000000000001,-0.568,-4.477,6.626,6.239,-0.853,-0.858,5.505,6.625,-3.8310000000000004,-4.812,SSE,8.083,-24.605,124.069
48,249,8015,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.781000000000001,4.781000000000001,0.207,0.0,10.615,10.615,-4.093,-10.615,12.137,12.137,0.483,-4.093,5.635,13.083,-4.093,-3.531,9.401,11.325999999999999,-4.093,-3.8089999999999997,SSE,4.45,-5.505,85.869
49,250,8016,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.646,5.646,1.7819999999999998,0.0,-0.379,-0.287,-0.34700000000000003,-0.735,0.34700000000000003,0.084,-0.257,-0.287,0.34700000000000003,0.778,0.735,0.823,0.87,0.44299999999999995,0.44299999999999995,0.823,SSE,3.1189999999999998,5.864,63.132
50,251,8017,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.189,6.189,0.111,0.0,-0.0,6.6129999999999995,-0.452,-7.666,0.452,-0.0,-0.452,-6.102,0.452,-0.905,16.613,-6.102,7.132999999999999,6.6129999999999995,0.0,5.601,SSE,7.457999999999999,-22.026999999999997,118.914
