,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC
51,252,8018,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.189,1.189,0.43799999999999994,0.0,1.652,0.29100000000000004,-3.7880000000000003,-7.011,-3.6839999999999997,3.5869999999999997,2.314,-3.59,-14.459000000000001,5.086,1.3419999999999999,-0.8909999999999999,-3.964,6.626,9.325,6.569,2.62,SSE,2.991,7.206,64.607
52,253,8019,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.3209999999999997,2.3209999999999997,1.177,0.0,-0.662,6.521,6.513999999999999,1.716,2.0140000000000002,5.919,4.894,1.6,4.704,5.4639999999999995,5.569,1.768,1.643,8.843,6.72,1.4509999999999998,1.474,SSE,0.655,55.816,-32.613
53,254,8020,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.7929999999999999,0.7929999999999999,0.603,0.0,2.861,-1.035,-2.3819999999999997,-4.599,-3.6510000000000002,-0.193,0.726,-3.48,-3.662,1.234,2.1719999999999997,-2.449,-3.234,14.123,3.9930000000000003,-2.24,-2.456,SSE,2.505,12.892000000000001,53.233999999999995
54,255,8021,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.03,1.03,0.657,0.0,1.435,2.166,1.835,1.8880000000000001,0.44799999999999995,2.8489999999999998,1.432,0.321,0.158,1.3030000000000002,0.79,-0.42700000000000005,1.716,3.185,2.992,-0.725,-0.28,SSE,2.376,14.585,49.848
55,256,8022,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,8.154,8.154,2.785,0.0,-8.141,7.38,-5.605,-2.384,-9.351,8.705,1.768,-2.225,0.0,8.2,5.73,-0.408,-4.841,13.216,4.251,3.464,0.6659999999999999,SSE,1.693,25.413,28.191999999999997
56,257,8023,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.574,2.574,0.102,0.0,-6.4,2.303,-6.356,2.274,-3.5389999999999997,-1.829,-11.11,1.291,-8.587,-1.462,-13.061,-4.216,12.76,1.993,0.6759999999999999,-4.441,-4.708,SSE,4.5489999999999995,-6.207999999999999,91.435
57,258,8024,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.937,2.937,1.1520000000000001,0.0,1.291,6.224,4.08,-2.18,-6.465,6.282,2.655,-11.187000000000001,-4.788,6.067,6.584,-2.414,-8.793,2.076,8.969,-11.245,-12.024000000000001,SSE,0.8340000000000001,48.092,-17.166
58,259,8025,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.895,1.895,0.171,0.0,2.033,0.659,2.077,-6.459,-15.136,0.951,5.275,-8.472000000000001,-9.426,18.486,7.952999999999999,-4.587,-4.457,3.9610000000000003,14.51,-5.144,-1.044,SSE,6.825,-19.189,117.397
59,260,8026,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.217,1.217,0.892,0.0,3.85,0.41700000000000004,1.177,-2.425,-3.298,10.37,0.741,-2.8310000000000004,-3.33,0.813,0.645,-3.592,-3.1689999999999996,1.395,-0.9179999999999999,-2.289,-2.485,SSE,1.722,24.878,29.263
60,261,8027,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.113,2.113,0.627,0.0,3.5,1.7080000000000002,2.897,-3.596,-3.8,2.889,4.013,-2.5639999999999996,-5.439,3.432,1.929,-3.248,-3.766,2.892,1.51,-6.94,-3.9539999999999997,SSE,0.943,44.158,-9.296
61,262,8028,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.635,2.635,0.313,0.0,1.828,8.238999999999999,4.809,2.0580000000000003,-0.157,1.2209999999999999,-4.133,3.389,-1.187,1.974,-2.843,-2.891,8.421,1.541,3.8169999999999997,3.275,-3.05,SSE,4.54,-6.14,91.3
