,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
1,2,coop,coop,HG,trust,opt,batch2,3023,live,4,complete,0.22
2,3,coop,def,PD,trust,opt,batch2,3023,live,4,complete,0.22
3,4,coop,def,SG,trust,opt,batch2,3023,live,4,complete,0.22
0,1,coop,coop,SH,trust,opt,batch2,3023,live,4,complete,0.22
1,2,coop,coop,HG,trust,trust,batch2,3024,live,4,complete,0.65
2,3,coop,coop,PD,trust,trust,batch2,3024,live,4,complete,0.65
3,4,coop,coop,SG,trust,trust,batch2,3024,live,4,complete,0.65
0,1,coop,coop,SH,trust,trust,batch2,3024,live,4,complete,0.65
1,2,coop,coop,HG,pess,none,batch2,3025,live,4,complete,0.64
2,3,def,def,PD,pess,none,batch2,3025,live,4,complete,0.64
3,4,coop,coop,SG,pess,none,batch2,3025,live,4,complete,0.64
0,1,def,coop,SH,pess,none,batch2,3025,live,4,complete,0.64
1,2,coop,coop,HG,none,none,batch2,3026,live,4,complete,0.41
2,3,def,coop,PD,none,none,batch2,3026,live,4,complete,0.41
3,4,coop,def,SG,none,none,batch2,3026,live,4,complete,0.41
0,1,coop,coop,SH,none,none,batch2,3026,live,4,complete,0.41
1,2,coop,coop,HG,pess,pess,batch2,3027,live,4,complete,0.68
2,3,def,def,PD,pess,pess,batch2,3027,live,4,complete,0.68
3,4,coop,coop,SG,pess,pess,batch2,3027,live,4,complete,0.68
0,1,def,def,SH,pess,pess,batch2,3027,live,4,complete,0.68
1,2,coop,coop,HG,trust,opt,batch2,3031,live,4,complete,0.61
2,3,coop,def,PD,trust,opt,batch2,3031,live,4,complete,0.61
3,4,coop,def,SG,trust,opt,batch2,3031,live,4,complete,0.61
0,1,coop,coop,SH,trust,opt,batch2,3031,live,4,complete,0.61
1,2,coop,coop,HG,trust,trust,batch2,3032,live,4,complete,0.48
2,3,coop,coop,PD,trust,trust,batch2,3032,live,4,complete,0.48
3,4,coop,coop,SG,trust,trust,batch2,3032,live,4,complete,0.48
0,1,coop,coop,SH,trust,trust,batch2,3032,live,4,complete,0.48
1,2,coop,coop,HG,trust,none,batch2,3036,live,4,complete,0.54
2,3,coop,def,PD,trust,none,batch2,3036,live,4,complete,0.54
3,4,coop,coop,SG,trust,none,batch2,3036,live,4,complete,0.54
0,1,coop,coop,SH,trust,none,batch2,3036,live,4,complete,0.54
1,2,coop,coop,HG,trust,opt,batch2,3037,live,4,complete,0.34
2,3,coop,def,PD,trust,opt,batch2,3037,live,4,complete,0.34
3,4,coop,def,SG,trust,opt,batch2,3037,live,4,complete,0.34
0,1,coop,coop,SH,trust,opt,batch2,3037,live,4,complete,0.34
1,2,coop,coop,HG,pess,Nash,batch2,3040,live,4,complete,0.23
2,3,def,def,PD,pess,Nash,batch2,3040,live,4,complete,0.23
3,4,coop,def,SG,pess,Nash,batch2,3040,live,4,complete,0.23
0,1,def,def,SH,pess,Nash,batch2,3040,live,4,complete,0.23
1,2,coop,coop,HG,trust,trust,batch3,4000,live,4,complete,0.54
2,3,coop,coop,PD,trust,trust,batch3,4000,live,4,complete,0.54
3,4,coop,coop,SG,trust,trust,batch3,4000,live,4,complete,0.54
0,1,coop,coop,SH,trust,trust,batch3,4000,live,4,complete,0.54
1,2,coop,coop,HG,trust,none,batch3,4001,live,4,complete,0.47
2,3,coop,coop,PD,trust,none,batch3,4001,live,4,complete,0.47
3,4,coop,def,SG,trust,none,batch3,4001,live,4,complete,0.47
0,1,coop,coop,SH,trust,none,batch3,4001,live,4,complete,0.47
1,2,coop,coop,HG,trust,trust,batch3,4002,live,4,complete,0.44
2,3,coop,coop,PD,trust,trust,batch3,4002,live,4,complete,0.44
3,4,coop,coop,SG,trust,trust,batch3,4002,live,4,complete,0.44
0,1,coop,coop,SH,trust,trust,batch3,4002,live,4,complete,0.44
1,2,coop,coop,HG,pess,Nash,batch3,4003,live,4,complete,0.71
2,3,def,def,PD,pess,Nash,batch3,4003,live,4,complete,0.71
3,4,coop,def,SG,pess,Nash,batch3,4003,live,4,complete,0.71
0,1,def,def,SH,pess,Nash,batch3,4003,live,4,complete,0.71
1,2,coop,coop,HG,opt,trust,batch3,4006,live,4,complete,0.34
2,3,def,coop,PD,opt,trust,batch3,4006,live,4,complete,0.34
3,4,def,coop,SG,opt,trust,batch3,4006,live,4,complete,0.34
0,1,coop,coop,SH,opt,trust,batch3,4006,live,4,complete,0.34
1,2,coop,coop,HG,none,none,batch3,4008,live,6,complete,0.42
2,3,coop,coop,PD,none,none,batch3,4008,live,6,complete,0.42
3,4,def,def,SG,none,none,batch3,4008,live,6,complete,0.42
0,1,coop,coop,SH,none,none,batch3,4008,live,6,complete,0.42
1,2,coop,coop,HG,pess,Nash,batch3,4011,live,4,complete,0.42
2,3,def,def,PD,pess,Nash,batch3,4011,live,4,complete,0.42
3,4,coop,def,SG,pess,Nash,batch3,4011,live,4,complete,0.42
0,1,def,def,SH,pess,Nash,batch3,4011,live,4,complete,0.42
1,2,coop,coop,HG,trust,trust,batch3,4013,live,4,complete,0.35
2,3,coop,coop,PD,trust,trust,batch3,4013,live,4,complete,0.35
3,4,coop,coop,SG,trust,trust,batch3,4013,live,4,complete,0.35
0,1,coop,coop,SH,trust,trust,batch3,4013,live,4,complete,0.35
1,2,coop,coop,HG,none,none,batch3,4014,live,4,complete,0.21
2,3,coop,coop,PD,none,none,batch3,4014,live,4,complete,0.21
3,4,def,def,SG,none,none,batch3,4014,live,4,complete,0.21
0,1,coop,coop,SH,none,none,batch3,4014,live,4,complete,0.21
1,2,coop,coop,HG,trust,trust,batch3,4015,live,4,complete,0.24
2,3,coop,coop,PD,trust,trust,batch3,4015,live,4,complete,0.24
3,4,coop,coop,SG,trust,trust,batch3,4015,live,4,complete,0.24
0,1,coop,coop,SH,trust,trust,batch3,4015,live,4,complete,0.24
1,2,coop,coop,HG,trust,opt,batch4,5000,live,4,complete,0.23
2,3,coop,def,PD,trust,opt,batch4,5000,live,4,complete,0.23
3,4,coop,def,SG,trust,opt,batch4,5000,live,4,complete,0.23
0,1,coop,coop,SH,trust,opt,batch4,5000,live,4,complete,0.23
1,2,coop,coop,HG,trust,trust,batch4,5002,live,4,complete,0.35
2,3,coop,coop,PD,trust,trust,batch4,5002,live,4,complete,0.35
