,trial,S,T,gt,player_type,choice,conf,score,score_cumul,radio_RT,submit_RT,block,self-report,batch,subID,mode,psiturk_status,data_status,bonus
11,11,0,5,SH,pess,coop,100%,0,6,3274,4395,0,Im not sure. Sometimes they shared fairly and other times they actually took less points.,batch2,3024,live,4,complete,0.65
12,12,0,15,PD,pess,def,100%,1,7,5616,7224,0,Im not sure. Sometimes they shared fairly and other times they actually took less points.,batch2,3024,live,4,complete,0.65
13,13,7,15,SG,pess,coop,80%,1,8,2443,4771,0,Im not sure. Sometimes they shared fairly and other times they actually took less points.,batch2,3024,live,4,complete,0.65
14,14,7,5,HG,pess,coop,100%,1,9,2891,3939,0,Im not sure. Sometimes they shared fairly and other times they actually took less points.,batch2,3024,live,4,complete,0.65
15,15,3,5,SH,pess,coop,100%,0,9,9722,16146,0,Im not sure. Sometimes they shared fairly and other times they actually took less points.,batch2,3024,live,4,complete,0.65
16,0,7,15,SG,opt,def,100%,1,10,99925,102269,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
17,1,3,15,PD,opt,def,100%,1,11,3290,5642,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
18,2,3,8,SH,opt,coop,100%,1,12,4851,8218,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
19,3,7,5,HG,opt,coop,100%,1,13,3363,5267,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
20,4,10,15,SG,opt,def,100%,1,14,5963,7787,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
21,5,7,8,HG,opt,coop,100%,1,15,3514,4514,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
22,6,0,5,SH,opt,coop,100%,1,16,3467,4404,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
23,7,0,12,PD,opt,def,100%,1,17,3519,4447,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
24,8,3,12,PD,opt,def,100%,1,18,3401,4425,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
25,9,7,12,SG,opt,def,100%,1,19,3275,4507,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
26,10,10,8,HG,opt,coop,100%,1,20,3304,4112,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
27,11,3,5,SH,opt,coop,100%,1,21,3347,4187,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
28,12,10,12,SG,opt,def,100%,1,22,3498,4442,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
29,13,0,15,PD,opt,def,100%,1,23,4155,5123,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
30,14,10,5,HG,opt,coop,100%,1,24,4537,5977,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
31,15,0,8,SH,opt,coop,100%,1,25,3930,4962,1,to always go for the most points for him/herself,batch2,3024,live,4,complete,0.65
0,0,7,12,SG,opt,def,80%,1,1,7248,8736,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
1,1,7,8,HG,opt,coop,80%,1,2,4756,6043,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
2,2,0,5,SH,opt,def,90%,0,2,5484,7020,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
3,3,3,15,PD,opt,def,90%,1,3,5668,6859,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
4,4,0,12,PD,opt,def,90%,1,4,6789,7765,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
5,5,0,8,SH,opt,def,90%,0,4,4180,5212,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
6,6,10,12,SG,opt,coop,90%,0,4,6958,8742,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
7,7,10,5,HG,opt,coop,90%,1,5,4429,5485,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
8,8,10,8,HG,opt,coop,90%,1,6,3212,4308,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
9,9,10,15,SG,opt,coop,70%,0,6,3036,4692,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
10,10,3,8,SH,opt,def,40%,0,6,2974,4422,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
11,11,3,12,PD,opt,def,80%,1,7,2773,5189,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
12,12,7,15,SG,opt,def,80%,1,8,3300,4740,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
13,13,7,5,HG,opt,coop,90%,1,9,2189,3797,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
14,14,3,5,SH,opt,coop,90%,1,10,1885,3101,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
15,15,0,15,PD,opt,def,80%,1,11,1333,3037,0,He chose based on the decision that will maximize his/her profits.,batch2,3025,live,4,complete,0.64
16,0,7,15,SG,pess,coop,70%,1,12,5027,7275,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
17,1,7,5,HG,pess,coop,80%,1,13,1836,2804,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
18,2,3,8,SH,pess,coop,70%,0,13,1668,3556,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
19,3,0,12,PD,pess,def,70%,1,14,2374,4069,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
20,4,7,8,HG,pess,coop,70%,1,15,2693,4181,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
21,5,0,8,SH,pess,def,90%,1,16,4371,5292,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
22,6,10,15,SG,pess,coop,90%,1,17,3714,5274,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
23,7,0,15,PD,pess,def,80%,1,18,2839,3950,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
24,8,10,5,HG,pess,coop,90%,1,19,1924,3236,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
25,9,3,5,SH,pess,coop,60%,0,19,2326,3533,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
26,10,3,15,PD,pess,def,100%,1,20,3261,4773,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
27,11,10,12,SG,pess,coop,90%,1,21,2643,3939,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
28,12,0,5,SH,pess,def,70%,1,22,2252,3452,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
29,13,3,12,PD,pess,def,80%,1,23,3004,4284,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
30,14,7,12,SG,pess,def,90%,0,23,3909,5029,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
31,15,10,8,HG,pess,coop,80%,1,24,2077,3181,1,Player D.T. focused on maximizing earnings.,batch2,3025,live,4,complete,0.64
0,0,7,15,SG,pess,def,60%,0,0,3907,5363,0,maximize their points,batch2,3026,live,4,complete,0.41
1,1,0,12,PD,pess,coop,70%,0,0,3096,5391,0,maximize their points,batch2,3026,live,4,complete,0.41
2,2,3,5,SH,pess,coop,70%,0,0,3803,6123,0,maximize their points,batch2,3026,live,4,complete,0.41
3,3,7,5,HG,pess,coop,100%,1,1,3793,6368,0,maximize their points,batch2,3026,live,4,complete,0.41
4,4,3,12,PD,pess,def,70%,1,2,2443,4252,0,maximize their points,batch2,3026,live,4,complete,0.41
5,5,7,8,HG,pess,coop,70%,1,3,3029,4428,0,maximize their points,batch2,3026,live,4,complete,0.41
6,6,0,8,SH,pess,def,90%,1,4,2594,4955,0,maximize their points,batch2,3026,live,4,complete,0.41
7,7,10,15,SG,pess,def,80%,0,4,2883,4699,0,maximize their points,batch2,3026,live,4,complete,0.41
8,8,10,12,SG,pess,def,70%,0,4,9867,11219,0,maximize their points,batch2,3026,live,4,complete,0.41
9,9,0,15,PD,pess,def,90%,1,5,4236,5804,0,maximize their points,batch2,3026,live,4,complete,0.41
10,10,0,5,SH,pess,def,60%,1,6,4957,6684,0,maximize their points,batch2,3026,live,4,complete,0.41
11,11,10,8,HG,pess,coop,90%,1,7,6685,7885,0,maximize their points,batch2,3026,live,4,complete,0.41
12,12,7,12,SG,pess,coop,70%,1,8,7925,11165,0,maximize their points,batch2,3026,live,4,complete,0.41
13,13,3,8,SH,pess,def,80%,1,9,5120,7689,0,maximize their points,batch2,3026,live,4,complete,0.41
14,14,3,15,PD,pess,def,90%,1,10,4449,8025,0,maximize their points,batch2,3026,live,4,complete,0.41
15,15,10,5,HG,pess,coop,100%,1,11,4268,6196,0,maximize their points,batch2,3026,live,4,complete,0.41
16,0,0,12,PD,opt,def,90%,1,12,8081,9960,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
17,1,7,5,HG,opt,coop,90%,1,13,3770,5202,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
18,2,10,12,SG,opt,coop,90%,0,13,5339,6539,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
19,3,3,5,SH,opt,coop,80%,1,14,5180,12276,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
20,4,0,8,SH,opt,def,90%,0,14,3810,5474,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
21,5,0,15,PD,opt,def,60%,1,15,4424,5520,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
22,6,10,5,HG,opt,coop,100%,1,16,2905,5529,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
23,7,7,12,SG,opt,def,80%,1,17,5810,7915,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
24,8,3,15,PD,opt,def,70%,1,18,3547,4923,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
25,9,10,15,SG,opt,coop,50%,0,18,3957,5868,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
26,10,7,8,HG,opt,coop,90%,1,19,2628,3572,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
27,11,0,5,SH,opt,coop,60%,1,20,3511,4870,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
28,12,10,8,HG,opt,coop,100%,1,21,2508,3844,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
29,13,7,15,SG,opt,def,90%,1,22,1883,3707,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
30,14,3,8,SH,opt,coop,100%,1,23,2451,3570,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
31,15,3,12,PD,opt,def,100%,1,24,4978,6954,1,choose the option with the chance for the highest reward,batch2,3026,live,4,complete,0.41
0,0,3,12,PD,pess,def,90%,1,1,5509,7337,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
1,1,7,8,HG,pess,coop,100%,1,2,3999,6706,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
2,2,3,8,SH,pess,def,80%,1,3,3749,6169,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
3,3,7,12,SG,pess,coop,60%,1,4,4076,5456,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
4,4,0,15,PD,pess,def,100%,1,5,2763,4780,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
5,5,0,8,SH,pess,def,100%,1,6,3124,4632,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
6,6,7,15,SG,pess,def,60%,0,6,4144,5344,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
7,7,7,5,HG,pess,coop,100%,1,7,4329,5896,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
8,8,3,15,PD,pess,def,100%,1,8,2801,4100,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
9,9,0,5,SH,pess,def,60%,1,9,3747,5059,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
10,10,10,5,HG,pess,coop,100%,1,10,2196,3700,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
11,11,10,15,SG,pess,coop,70%,1,11,2939,4127,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
12,12,10,12,SG,pess,coop,100%,1,12,2182,3913,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
13,13,0,12,PD,pess,def,100%,1,13,2167,5339,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
14,14,3,5,SH,pess,coop,80%,0,13,3421,6321,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
15,15,10,8,HG,pess,coop,100%,1,14,2930,4598,0,Maximize their earnings,batch2,3027,live,4,complete,0.68
16,0,3,5,SH,opt,def,80%,0,14,7931,9390,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
17,1,0,15,PD,opt,def,100%,1,15,2190,3394,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
18,2,7,8,HG,opt,coop,80%,1,16,4324,5703,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
19,3,10,12,SG,opt,coop,60%,0,16,5181,6353,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
20,4,7,12,SG,opt,def,100%,1,17,1511,2727,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
21,5,10,8,HG,opt,coop,100%,1,18,2235,3532,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
22,6,0,5,SH,opt,coop,100%,1,19,1831,3015,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
23,7,0,12,PD,opt,def,100%,1,20,1910,3238,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
24,8,7,5,HG,opt,coop,100%,1,21,1895,3415,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
25,9,3,8,SH,opt,coop,100%,1,22,1659,3051,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
26,10,3,12,PD,opt,def,100%,1,23,1545,3161,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
27,11,7,15,SG,opt,def,100%,1,24,2244,3572,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
28,12,3,15,PD,opt,def,100%,1,25,1649,2993,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
29,13,10,5,HG,opt,coop,100%,1,26,1622,3094,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
30,14,10,15,SG,opt,def,100%,1,27,1810,3042,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
31,15,0,8,SH,opt,coop,100%,1,28,1739,3035,1,Get the absolute maximum payout for themselves,batch2,3027,live,4,complete,0.68
0,0,0,12,PD,pess,coop,70%,0,0,7603,11511,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
1,1,7,5,HG,pess,coop,50%,1,1,4757,9204,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
2,2,10,12,SG,pess,def,70%,0,1,2689,5937,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
3,3,3,5,SH,pess,coop,100%,0,1,2701,4604,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
4,4,0,8,SH,pess,coop,50%,0,1,3987,8272,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
5,5,0,15,PD,pess,def,40%,1,2,6571,8410,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
6,6,10,5,HG,pess,coop,30%,1,3,3730,5586,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
7,7,7,12,SG,pess,def,20%,0,3,12894,14414,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
8,8,3,15,PD,pess,def,20%,1,4,2241,3813,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
9,9,10,15,SG,pess,def,60%,0,4,2447,4335,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
10,10,7,8,HG,pess,coop,50%,1,5,2507,4499,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
11,11,0,5,SH,pess,coop,100%,0,5,2636,5095,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
12,12,10,8,HG,pess,coop,40%,1,6,6312,24065,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
13,13,7,15,SG,pess,def,10%,0,6,2789,4420,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
14,14,3,8,SH,pess,coop,10%,0,6,1919,3747,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
15,15,3,12,PD,pess,coop,10%,0,6,2224,3582,0,I think they were just choosing randomly and not even considering the amount at all.,batch2,3031,live,4,complete,0.61
16,0,7,15,SG,opt,coop,50%,0,6,3376,5536,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
17,1,7,5,HG,opt,coop,50%,1,7,2109,3857,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
18,2,3,8,SH,opt,coop,50%,1,8,2894,4638,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
19,3,0,12,PD,opt,def,50%,1,9,2026,3549,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
20,4,7,8,HG,opt,coop,80%,1,10,2502,3957,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
21,5,0,8,SH,opt,coop,100%,1,11,2101,3461,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
22,6,10,15,SG,opt,def,100%,1,12,2246,4025,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
23,7,0,15,PD,opt,def,100%,1,13,1604,2883,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
24,8,10,5,HG,opt,coop,100%,1,14,2245,4088,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
25,9,3,5,SH,opt,coop,100%,1,15,1784,3340,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
26,10,3,15,PD,opt,def,100%,1,16,1932,4171,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
27,11,10,12,SG,opt,def,100%,1,17,1674,3274,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
28,12,0,5,SH,opt,coop,100%,1,18,1829,3541,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
29,13,3,12,PD,opt,def,100%,1,19,1839,3189,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
30,14,7,12,SG,opt,def,100%,1,20,1576,3277,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
31,15,10,8,HG,opt,coop,100%,1,21,2107,5183,1,"I think they wanted to maximize their earnings, so they chose the one that would get them the most regardless of if the opponent would get 0.",batch2,3031,live,4,complete,0.61
0,0,3,5,SH,opt,coop,50%,1,1,4047,7183,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
1,1,0,15,PD,opt,coop,50%,0,1,3135,6503,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
2,2,7,8,HG,opt,coop,50%,1,2,4114,6550,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
3,3,10,12,SG,opt,def,50%,1,3,3020,4798,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
4,4,7,12,SG,opt,def,60%,1,4,2437,4109,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
5,5,10,8,HG,opt,coop,60%,1,5,2555,5382,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
6,6,0,5,SH,opt,coop,70%,1,6,1746,3082,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
7,7,0,12,PD,opt,def,70%,1,7,2407,3441,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
8,8,7,5,HG,opt,coop,70%,1,8,3045,5185,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
9,9,3,8,SH,opt,coop,80%,1,9,2148,3577,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
10,10,3,12,PD,opt,def,80%,1,10,1514,3070,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
11,11,7,15,SG,opt,def,80%,1,11,1422,2650,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
12,12,3,15,PD,opt,def,90%,1,12,1955,3213,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
13,13,10,5,HG,opt,coop,80%,1,13,1744,3158,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
14,14,10,15,SG,opt,def,90%,1,14,1806,4508,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
15,15,0,8,SH,opt,coop,90%,1,15,1684,3194,0,Chose the color that gets them the most points,batch2,3032,live,4,complete,0.48
16,0,3,12,PD,pess,coop,50%,0,15,7936,9888,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
17,1,7,8,HG,pess,coop,70%,1,16,1991,4089,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
18,2,3,8,SH,pess,coop,70%,0,16,2668,4248,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
19,3,7,12,SG,pess,def,50%,0,16,3140,5090,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
20,4,0,15,PD,pess,def,50%,1,17,3176,5454,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
21,5,0,8,SH,pess,coop,50%,0,17,1870,3384,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
22,6,7,15,SG,pess,def,50%,0,17,2825,4023,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
23,7,7,5,HG,pess,coop,40%,1,18,1957,3936,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
24,8,3,15,PD,pess,def,40%,1,19,1918,3670,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
25,9,0,5,SH,pess,def,40%,1,20,6437,8236,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
26,10,10,5,HG,pess,coop,50%,1,21,2888,4911,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
27,11,10,15,SG,pess,def,50%,0,21,2601,3929,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
28,12,10,12,SG,pess,def,50%,0,21,4306,5526,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
29,13,0,12,PD,pess,def,50%,1,22,2451,3569,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
30,14,3,5,SH,pess,coop,50%,0,22,2154,3452,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
31,15,10,8,HG,pess,coop,50%,1,23,3465,5029,1,Get more money than the opponent,batch2,3032,live,4,complete,0.48
0,0,10,8,HG,pess,coop,90%,1,1,4978,7995,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
1,1,7,12,SG,pess,coop,80%,1,2,5475,7102,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
2,2,0,12,PD,pess,coop,100%,0,2,5865,7352,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
3,3,0,8,SH,pess,coop,90%,0,2,5069,7124,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
4,4,3,8,SH,pess,coop,70%,0,2,3859,6131,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
5,5,3,15,PD,pess,coop,100%,0,2,3985,6162,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
6,6,10,15,SG,pess,def,90%,0,2,4571,5929,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
7,7,10,5,HG,pess,def,60%,0,2,4370,6318,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
8,8,3,12,PD,pess,coop,90%,0,2,5427,6783,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
9,9,7,8,HG,pess,coop,90%,1,3,2632,5019,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
10,10,10,12,SG,pess,def,70%,0,3,5504,6828,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
11,11,0,5,SH,pess,coop,90%,0,3,3843,5607,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
12,12,0,15,PD,pess,coop,90%,0,3,4172,5825,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
13,13,7,15,SG,pess,coop,70%,1,4,1949,3988,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
14,14,7,5,HG,pess,coop,60%,1,5,3872,5383,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
15,15,3,5,SH,pess,coop,60%,0,5,5078,6836,0,I think he was trying to be fair and not cause the other to get 0 points.,batch2,3036,live,4,complete,0.54
16,0,7,15,SG,opt,coop,70%,0,5,5313,8756,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
17,1,7,5,HG,opt,coop,70%,1,6,4003,5419,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
18,2,3,8,SH,opt,coop,50%,1,7,1982,4318,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
19,3,0,12,PD,opt,coop,60%,0,7,2438,8387,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
20,4,7,8,HG,opt,coop,80%,1,8,1978,3115,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
21,5,0,8,SH,opt,def,80%,0,8,2199,7299,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
22,6,10,15,SG,opt,coop,90%,0,8,4994,6346,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
23,7,0,15,PD,opt,coop,80%,0,8,4338,5832,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
24,8,10,5,HG,opt,coop,60%,1,9,4617,5899,1,I think he wanted to avoid the 0 as much as possible.,batch2,3036,live,4,complete,0.54
