,trial,S,T,gt,player_type,choice,conf,score,score_cumul,radio_RT,submit_RT,block,self-report,batch,subID,mode,psiturk_status,data_status,bonus
11,11,0,5,SH,opt,coop,100%,1,10,26692,50623,0,The highest payout,batch1,2002,live,4,complete,0.44
12,12,0,15,PD,opt,coop,100%,0,10,3376,4247,0,The highest payout,batch1,2002,live,4,complete,0.44
13,13,7,15,SG,opt,coop,100%,0,10,2000,5138,0,The highest payout,batch1,2002,live,4,complete,0.44
14,14,7,5,HG,opt,coop,100%,1,11,2197,4297,0,The highest payout,batch1,2002,live,4,complete,0.44
15,15,3,5,SH,opt,coop,100%,1,12,2536,4274,0,The highest payout,batch1,2002,live,4,complete,0.44
16,0,7,12,SG,pess,def,100%,0,12,3419,5746,1,Most payoff,batch1,2002,live,4,complete,0.44
17,1,7,8,HG,pess,coop,100%,1,13,3143,3936,1,Most payoff,batch1,2002,live,4,complete,0.44
18,2,0,5,SH,pess,coop,100%,0,13,3784,4562,1,Most payoff,batch1,2002,live,4,complete,0.44
19,3,3,15,PD,pess,def,100%,1,14,3690,5138,1,Most payoff,batch1,2002,live,4,complete,0.44
20,4,0,12,PD,pess,coop,100%,0,14,12805,14259,1,Most payoff,batch1,2002,live,4,complete,0.44
21,5,0,8,SH,pess,coop,100%,0,14,4244,5596,1,Most payoff,batch1,2002,live,4,complete,0.44
22,6,10,12,SG,pess,def,100%,0,14,4383,5161,1,Most payoff,batch1,2002,live,4,complete,0.44
23,7,10,5,HG,pess,coop,100%,1,15,2976,3715,1,Most payoff,batch1,2002,live,4,complete,0.44
24,8,10,8,HG,pess,coop,100%,1,16,2016,4698,1,Most payoff,batch1,2002,live,4,complete,0.44
25,9,10,15,SG,pess,coop,100%,1,17,2531,3389,1,Most payoff,batch1,2002,live,4,complete,0.44
26,10,3,8,SH,pess,coop,100%,0,17,2559,6475,1,Most payoff,batch1,2002,live,4,complete,0.44
27,11,3,12,PD,pess,coop,100%,0,17,2612,9855,1,Most payoff,batch1,2002,live,4,complete,0.44
28,12,7,15,SG,pess,def,100%,0,17,5080,6542,1,Most payoff,batch1,2002,live,4,complete,0.44
29,13,7,5,HG,pess,coop,100%,1,18,12886,14380,1,Most payoff,batch1,2002,live,4,complete,0.44
30,14,3,5,SH,pess,coop,100%,0,18,2156,3690,1,Most payoff,batch1,2002,live,4,complete,0.44
31,15,0,15,PD,pess,def,100%,1,19,7548,11842,1,Most payoff,batch1,2002,live,4,complete,0.44
0,0,7,12,SG,opt,coop,70%,0,0,4951,6720,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
1,1,7,8,HG,opt,coop,90%,1,1,3436,8243,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
2,2,0,5,SH,opt,coop,50%,1,2,3704,5326,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
3,3,3,15,PD,opt,def,80%,1,3,2432,3678,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
4,4,0,12,PD,opt,def,80%,1,4,2337,3630,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
5,5,0,8,SH,opt,coop,60%,1,5,3133,4279,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
6,6,10,12,SG,opt,def,90%,1,6,2525,3810,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
7,7,10,5,HG,opt,coop,100%,1,7,3512,5238,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
8,8,10,8,HG,opt,coop,90%,1,8,2847,4109,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
9,9,10,15,SG,opt,def,90%,1,9,3014,4156,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
10,10,3,8,SH,opt,coop,90%,1,10,2076,3264,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
11,11,3,12,PD,opt,def,100%,1,11,1967,4158,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
12,12,7,15,SG,opt,def,100%,1,12,2881,4155,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
13,13,7,5,HG,opt,coop,100%,1,13,1724,2927,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
14,14,3,5,SH,opt,coop,100%,1,14,1800,2933,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
15,15,0,15,PD,opt,def,100%,1,15,2541,4035,0,pick the option that has the higher possible return,batch1,2003,live,4,complete,0.3
16,0,3,5,SH,pess,coop,50%,0,15,4968,8285,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
17,1,0,15,PD,pess,def,80%,1,16,3240,4472,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
18,2,7,8,HG,pess,coop,60%,1,17,3438,4902,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
19,3,10,12,SG,pess,coop,80%,1,18,2736,4141,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
20,4,7,12,SG,pess,coop,80%,1,19,3065,4398,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
21,5,10,8,HG,pess,coop,90%,1,20,1447,4115,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
22,6,0,5,SH,pess,def,90%,1,21,1607,2798,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
23,7,0,12,PD,pess,def,100%,1,22,1191,3589,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
24,8,7,5,HG,pess,coop,100%,1,23,1620,2922,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
25,9,3,8,SH,pess,def,100%,1,24,2539,3655,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
26,10,3,12,PD,pess,def,100%,1,25,2994,4158,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
27,11,7,15,SG,pess,coop,100%,1,26,2955,4024,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
28,12,3,15,PD,pess,def,100%,1,27,2332,4222,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
29,13,10,5,HG,pess,coop,100%,1,28,1428,2613,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
30,14,10,15,SG,pess,coop,100%,1,29,2008,3045,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
31,15,0,8,SH,pess,def,100%,1,30,1604,2748,1,to make sure the the lowest value possible to win was greater than the lowest possible of the other option.,batch1,2003,live,4,complete,0.3
0,0,3,8,SH,pess,def,60%,1,1,7936,9284,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
1,1,0,15,PD,pess,def,70%,1,2,4083,4755,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
2,2,7,8,HG,pess,def,70%,0,2,2227,2523,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
3,3,7,15,SG,pess,def,80%,0,2,2750,4156,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
4,4,3,5,SH,pess,def,60%,1,3,1579,2339,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
5,5,7,5,HG,pess,coop,40%,1,4,2503,2839,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
6,6,0,12,PD,pess,def,60%,1,5,4598,5107,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
7,7,10,12,SG,pess,def,70%,0,5,1425,2164,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
8,8,7,12,SG,pess,def,50%,0,5,1628,2786,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
9,9,3,15,PD,pess,def,70%,1,6,1263,2012,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
10,10,0,8,SH,pess,def,80%,1,7,1202,1997,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
11,11,10,5,HG,pess,coop,50%,1,8,1969,2819,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
12,12,10,15,SG,pess,def,70%,0,8,1947,2709,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
13,13,0,5,SH,pess,coop,70%,0,8,1618,2492,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
14,14,10,8,HG,pess,coop,40%,1,9,1420,2654,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
