sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC,model_type,features
12,2019,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.069,0.0,2.346,13.595999999999998,18.916,-2.3409999999999997,-18.274,-2.343,5.07,-2.3409999999999997,-2.34,5.0680000000000005,1.304,5.066,-9.753,13.595,-2.34,-2.34,-9.75,SSE,2.906,8.126,62.766000000000005,FeatureRL,CoST
13,2020,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.355,0.355,0.483,0.0,2.372,3.0,3.64,-4.018,-3.242,3.509,4.056,-3.9219999999999997,-2.286,3.2289999999999996,3.5380000000000003,-0.165,-3.284,1.905,2.946,-3.483,-2.733,SSE,2.781,9.54,59.93899999999999,FeatureRL,CoST
14,2021,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.033,0.0,2.946,6.144,-19.914,-1.4380000000000002,-8.976,-16.714000000000002,3.095,-10.498,-2.9419999999999997,15.677999999999999,1.575,-2.94,9.25,6.149,15.664000000000001,19.044,1.575,SSE,2.049,19.313,40.393,FeatureRL,CoST
15,2022,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.47700000000000004,0.47700000000000004,0.262,0.0,2.88,1.2919999999999998,5.751,-5.226,-6.085,5.83,6.523,-8.503,-3.315,6.028,2.369,4.7139999999999995,-9.262,9.209,5.144,-3.168,-5.492999999999999,SSE,3.0439999999999996,6.649,65.722,FeatureRL,CoST
16,2023,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.001,1.001,0.287,0.0,0.8190000000000001,2.583,3.908,-0.867,-3.266,4.617,2.926,0.9209999999999999,-1.5119999999999998,1.714,2.509,-1.589,-2.063,5.111000000000001,-0.9390000000000001,-1.226,0.247,SSE,4.1339999999999995,-3.145,85.30799999999999,FeatureRL,CoST
17,2024,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.993,0.993,0.5329999999999999,0.0,-0.541,5.235,4.288,-3.758,0.943,5.501,3.157,-0.36200000000000004,0.028999999999999998,4.9319999999999995,3.6910000000000003,1.2830000000000001,-0.5589999999999999,4.7330000000000005,4.971,1.255,-0.413,SSE,3.4560000000000004,2.585,73.84899999999999,FeatureRL,CoST
18,2025,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.121,0.0,0.073,0.34600000000000003,1.587,-12.205,-15.262,12.755,1.176,-0.077,-4.298,16.03,13.49,-1.315,-9.158999999999999,11.41,12.755999999999998,1.172,-5.657,SSE,3.465,2.498,74.023,FeatureRL,CoST
19,2026,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.175,0.0,19.892,-3.055,4.291,-4.419,-15.359000000000002,15.347000000000001,5.218999999999999,4.421,-5.457000000000001,14.908,15.419,-4.397,-9.339,16.295,16.862000000000002,5.763,-13.936,SSE,1.0659999999999998,40.209,-1.3980000000000001,FeatureRL,CoST
20,2027,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.168,0.168,0.369,0.0,0.7070000000000001,2.322,2.853,-3.5660000000000003,0.727,2.39,0.8390000000000001,-0.5720000000000001,-1.7309999999999999,2.396,2.362,-1.979,-1.909,2.392,0.7490000000000001,0.769,-3.5389999999999997,SSE,1.659,26.06,26.898000000000003,FeatureRL,CoST
21,2029,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.051,0.0,-0.799,16.358,5.769,-5.164,-14.762,10.878,4.737,-4.166,-15.937000000000001,17.524,2.775,-11.424000000000001,-14.758,0.8270000000000001,8.789,-3.158,-5.162999999999999,SSE,1.665,25.962,27.094,FeatureRL,CoST
