,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,cost_type,SSE,LL,BIC
26,27,2035,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.33,0.33,1.837,0.0,3.3160000000000003,8.852,-2.405,-3.1260000000000003,-3.115,NLL,-999.0,-29.787,88.68700000000001
27,28,2037,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.9589999999999996,2.9589999999999996,0.8240000000000001,0.0,0.132,0.9640000000000001,-1.4780000000000002,0.386,1.3319999999999999,NLL,-999.0,-26.296999999999997,81.706
28,29,2039,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.9980000000000002,1.9980000000000002,0.64,0.0,7.33,1.788,-2.068,-3.465,-4.266,NLL,-999.0,-32.616,94.345
29,30,2040,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.8089999999999997,2.8089999999999997,0.47,0.0,2.491,0.39899999999999997,3.6319999999999997,2.327,2.278,NLL,-999.0,-33.751,96.61399999999999
30,31,2041,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.5030000000000001,1.5030000000000001,1.014,0.0,4.433,1.212,-1.206,-1.325,-3.8360000000000003,NLL,-999.0,-26.372,81.855
31,32,2042,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.39799999999999996,0.39799999999999996,1.338,0.0,2.158,0.536,-1.2,-2.241,-2.419,NLL,-999.0,-32.834,94.78
32,33,2044,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.745,0.745,1.122,0.0,-0.46299999999999997,3.025,4.497,-1.018,1.006,NLL,-999.0,-25.646,80.404
33,34,2045,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.6890000000000001,0.6890000000000001,0.672,0.0,0.214,3.667,-2.4130000000000003,1.829,-3.236,NLL,-999.0,-27.85,84.811
34,35,2046,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.316,0.316,1.795,0.0,5.154,-3.491,7.153,-5.1610000000000005,-5.305,NLL,-999.0,-25.245,79.60300000000001
35,36,2047,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.8139999999999996,2.8139999999999996,1.2670000000000001,0.0,-2.485,4.245,-1.514,-1.9040000000000001,-1.401,NLL,-999.0,-18.025,65.161
