,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC
11,12,2019,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.631,0.0,2.7510000000000003,18.018,15.709000000000001,-2.7439999999999998,-19.842,-2.7439999999999998,-1.003,-2.741,-2.741,-1.004,-2.7439999999999998,-1.003,-4.484,18.625,-2.742,-2.7439999999999998,-4.479,NLL,-999.0,-30.656999999999996,140.332
12,13,2020,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.268,0.268,1.6769999999999998,0.0,6.376,2.802,4.0089999999999995,-6.721,-6.591,5.218,6.577000000000001,-6.733,-5.962999999999999,8.738,3.292,-5.441,-6.776,7.438,6.407,-6.665,-6.657,NLL,-999.0,-18.096,115.21
13,14,2021,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.233,0.0,15.294,-15.290999999999999,-19.984,-10.571,-15.289000000000001,-19.992,-10.575999999999999,-15.280999999999999,-15.289000000000001,-10.584000000000001,-15.280999999999999,-15.289000000000001,-10.581,-10.574000000000002,-10.579,19.995,-15.286,NLL,-999.0,-37.414,153.846
14,15,2022,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.094,0.094,2.437,0.0,4.9319999999999995,-4.381,1.882,-5.193,-5.2620000000000005,4.189,2.255,-12.493,-4.809,16.374000000000002,-4.359,9.782,-12.63,5.162000000000001,2.406,-4.815,-5.189,NLL,-999.0,-16.735,112.48899999999999
15,16,2023,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.847,0.847,1.2990000000000002,0.0,6.3660000000000005,-4.742,9.222999999999999,-6.545,-6.16,6.204,9.856,-4.658,-6.081,-5.46,-4.504,-6.621,-6.707000000000001,6.371,-6.108,-6.09,-5.69,NLL,-999.0,-27.725,134.468
16,17,2024,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.588,0.588,2.062,0.0,4.7860000000000005,5.093999999999999,3.2880000000000003,-14.168,-4.524,5.012,-3.29,-5.055,-4.176,4.129,4.559,-3.8169999999999997,-4.963,4.5969999999999995,4.566,-4.007,-4.631,NLL,-999.0,-17.759,114.536
17,18,2025,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.5579999999999999,0.5579999999999999,2.374,0.0,0.08199999999999999,-0.7120000000000001,-0.32799999999999996,-13.345,-6.8,7.01,-0.076,-0.252,-0.324,8.767999999999999,6.482,-0.223,-7.276,0.129,8.61,-0.02,-0.815,NLL,-999.0,-22.23,123.48
18,19,2026,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.292,0.0,19.989,19.852,19.852,19.872,-16.191,19.832,19.798,19.81,19.858,19.871,19.866,19.842,19.873,19.86,19.82,19.838,-16.18,NLL,-999.0,-4.505,88.029
19,20,2027,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.11,0.11,1.786,0.0,0.86,9.751,9.646,-9.427999999999999,-0.161,8.342,-0.057,-0.6970000000000001,-1.3969999999999998,8.145,8.708,-1.3719999999999999,-1.315,11.677,-0.19,-0.14,-8.765,NLL,-999.0,-18.47,115.959
20,21,2029,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.8590000000000001,0.8590000000000001,1.682,0.0,2.7510000000000003,-3.147,-2.915,-3.415,-4.229,-2.394,-3.1039999999999996,-3.235,-12.802999999999999,5.801,-3.1069999999999998,-3.484,-4.302,-3.4210000000000003,-2.927,-3.661,-3.073,NLL,-999.0,-33.668,146.35399999999998
