,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
36,3,2003,2,F.A.,opt,inv,opt_inv,4,7,12,SG,"['Blue', 'Red']",coop,coop,50.0,1,2550.0,5065.0,not sure
37,3,2003,2,F.A.,opt,inv,opt_inv,5,10,8,HG,"['Blue', 'Red']",def,coop,50.0,0,2654.0,5174.0,not sure
38,3,2003,2,F.A.,opt,inv,opt_inv,6,0,5,SH,"['Blue', 'Red']",def,def,50.0,1,5310.0,8090.0,not sure
39,3,2003,2,F.A.,opt,inv,opt_inv,7,0,12,PD,"['Blue', 'Red']",coop,def,50.0,0,2660.0,5312.0,not sure
40,3,2003,2,F.A.,opt,inv,opt_inv,8,7,5,HG,"['Blue', 'Red']",def,def,50.0,1,2882.0,5903.0,not sure
41,3,2003,2,F.A.,opt,inv,opt_inv,9,3,8,SH,"['Blue', 'Red']",def,coop,50.0,0,3350.0,6241.0,not sure
42,3,2003,2,F.A.,opt,inv,opt_inv,10,3,12,PD,"['Blue', 'Red']",coop,def,50.0,0,2774.0,5320.0,not sure
43,3,2003,2,F.A.,opt,inv,opt_inv,11,7,15,SG,"['Blue', 'Red']",coop,coop,50.0,1,2319.0,4617.0,not sure
44,3,2003,2,F.A.,opt,inv,opt_inv,12,3,15,PD,"['Blue', 'Red']",coop,coop,50.0,1,2635.0,5018.0,not sure
45,3,2003,2,F.A.,opt,inv,opt_inv,13,10,5,HG,"['Blue', 'Red']",def,def,50.0,1,2587.0,4906.0,not sure
46,3,2003,2,F.A.,opt,inv,opt_inv,14,10,15,SG,"['Blue', 'Red']",coop,coop,50.0,1,2615.0,5007.0,not sure
47,3,2003,2,F.A.,opt,inv,opt_inv,15,0,8,SH,"['Blue', 'Red']",def,coop,60.0,0,2170.0,4514.0,not sure
48,3,2003,3,E.B.,pess,inv,pess_inv,0,10,5,HG,"['Yellow', 'Blue']",def,coop,50.0,0,3858.0,6466.0,maximize the opponents score
49,3,2003,3,E.B.,pess,inv,pess_inv,1,3,5,SH,"['Yellow', 'Blue']",coop,coop,50.0,1,2359.0,6758.0,maximize the opponents score
50,3,2003,3,E.B.,pess,inv,pess_inv,2,0,15,PD,"['Yellow', 'Blue']",coop,coop,50.0,1,2156.0,4614.0,maximize the opponents score
51,3,2003,3,E.B.,pess,inv,pess_inv,3,7,12,SG,"['Yellow', 'Blue']",def,coop,50.0,0,2110.0,4487.0,maximize the opponents score
52,3,2003,3,E.B.,pess,inv,pess_inv,4,10,15,SG,"['Yellow', 'Blue']",def,coop,50.0,0,2619.0,5207.0,maximize the opponents score
53,3,2003,3,E.B.,pess,inv,pess_inv,5,10,8,HG,"['Yellow', 'Blue']",def,coop,50.0,0,3590.0,5956.0,maximize the opponents score
