sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
151,5005,joint,1,0001,Nash,0,0,0,0.924,0.924,0.308,0.0,4.404,,,,SSE,12.494000000000002,-32.71,79.976
151,5005,joint,2,0010,Risk,0,0,0,0.595,0.595,0.33299999999999996,0.0,2.309,,,,SSE,13.805,-39.096,92.749
151,5005,joint,3,0011,Risk_Nash,0,0,0,0.556,0.556,0.35600000000000004,0.0,1.198,3.103,,,SSE,10.972000000000001,-24.401,68.21
151,5005,joint,4,0100,Greed,0,0,0,1.09,1.09,0.157,0.0,6.172000000000001,,,,SSE,12.907,-34.796,84.148
151,5005,joint,5,0101,Greed_Nash,0,0,0,0.735,0.735,0.243,0.0,2.886,3.8360000000000003,,,SSE,10.812999999999999,-23.465,66.337
151,5005,joint,6,0110,Greed_Risk,0,0,0,0.747,0.747,0.364,0.0,3.76,3.179,,,SSE,7.397,0.8190000000000001,17.769000000000002
151,5005,joint,7,0111,Greed_Risk_Nash,0,0,0,0.588,0.588,0.34700000000000003,0.0,3.72,3.24,0.899,,SSE,7.731,-2.0,28.26
151,5005,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,15.655999999999999,,,,SSE,18.078,-56.358000000000004,127.273
151,5005,joint,9,1001,Coop_Nash,0,0,0,0.76,0.76,0.282,0.0,0.7879999999999999,4.282,,,SSE,12.829,-34.406,88.221
151,5005,joint,10,1010,Coop_Risk,0,0,0,0.633,0.633,0.285,0.0,0.764,2.6689999999999996,,,SSE,13.839,-39.253,97.915
151,5005,joint,11,1011,Coop_Risk_Nash,0,0,0,0.5760000000000001,0.5760000000000001,0.32299999999999995,0.0,0.5720000000000001,1.321,3.22,,SSE,11.05,-24.849,73.959
151,5005,joint,12,1100,Coop_Greed,0,0,0,1.02,1.02,0.147,0.0,1.536,6.3870000000000005,,,SSE,12.962,-35.067,89.542
151,5005,joint,13,1101,Coop_Greed_Nash,0,0,0,0.511,0.511,0.324,0.0,0.7959999999999999,2.162,2.765,,SSE,10.812999999999999,-23.463,71.187
151,5005,joint,14,1110,Coop_Greed_Risk,0,0,0,0.609,0.609,0.45399999999999996,0.0,0.518,2.9939999999999998,2.54,,SSE,7.159,2.925,18.41
151,5005,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.7040000000000001,0.7040000000000001,0.293,0.0,0.7659999999999999,4.463,3.91,0.898,SSE,7.542000000000001,-0.40700000000000003,29.925
152,5006,joint,1,0001,Nash,0,0,0,0.6629999999999999,0.6629999999999999,0.23600000000000002,0.0,3.9339999999999997,,,,SSE,6.277,11.343,-8.13
152,5006,joint,2,0010,Risk,0,0,0,0.75,0.75,0.184,0.0,3.187,,,,SSE,7.454,0.34299999999999997,13.869000000000002
152,5006,joint,3,0011,Risk_Nash,0,0,0,0.38299999999999995,0.38299999999999995,0.308,0.0,0.7490000000000001,2.7289999999999996,,,SSE,5.505,19.745,-20.081
152,5006,joint,4,0100,Greed,0,0,0,0.434,0.434,0.23,0.0,2.603,,,,SSE,7.287000000000001,1.791,10.974
152,5006,joint,5,0101,Greed_Nash,0,0,0,0.331,0.331,0.3,0.0,1.053,2.416,,,SSE,5.624,18.366,-17.324
152,5006,joint,6,0110,Greed_Risk,0,0,0,0.43700000000000006,0.43700000000000006,0.342,0.0,2.042,1.9409999999999998,,,SSE,4.46,33.211999999999996,-47.016999999999996
152,5006,joint,7,0111,Greed_Risk_Nash,0,0,0,0.361,0.361,0.311,0.0,1.69,1.524,1.3980000000000001,,SSE,4.39,34.22,-44.178999999999995
152,5006,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,-10.626,,,,SSE,9.883,-17.709,49.974
152,5006,joint,9,1001,Coop_Nash,0,0,0,0.45299999999999996,0.45299999999999996,0.327,0.0,-0.613,2.78,,,SSE,6.254,11.582,-3.7560000000000002
152,5006,joint,10,1010,Coop_Risk,0,0,0,0.5920000000000001,0.5920000000000001,0.23,0.0,-0.754,2.515,,,SSE,7.419,0.643,18.122
152,5006,joint,11,1011,Coop_Risk_Nash,0,0,0,0.41,0.41,0.297,0.0,-0.613,0.7909999999999999,2.827,,SSE,5.41,20.859,-17.459
152,5006,joint,12,1100,Coop_Greed,0,0,0,0.445,0.445,0.223,0.0,-0.715,2.67,,,SSE,7.233,2.2680000000000002,14.872
152,5006,joint,13,1101,Coop_Greed_Nash,0,0,0,0.623,0.623,0.168,0.0,-1.122,1.926,4.34,,SSE,5.5120000000000005,19.66,-15.059000000000001
152,5006,joint,14,1110,Coop_Greed_Risk,0,0,0,0.114,0.114,1.45,0.0,-0.154,0.495,0.473,,SSE,4.209,36.928000000000004,-49.597
152,5006,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,1.42,1.42,0.085,0.0,-2.407,6.403,5.78,5.182,SSE,4.184,37.302,-45.492
153,5007,joint,1,0001,Nash,0,0,0,3.283,3.283,0.259,0.0,4.0760000000000005,,,,SSE,8.692,-9.488999999999999,33.534
153,5007,joint,2,0010,Risk,0,0,0,1.825,1.825,0.20600000000000002,0.0,2.0469999999999997,,,,SSE,11.309000000000001,-26.334,67.225
153,5007,joint,3,0011,Risk_Nash,0,0,0,1.544,1.544,0.268,0.0,-0.032,3.645,,,SSE,7.439,0.47200000000000003,18.464000000000002
