,sub,part,block,player_type,trial,num,num_S_T,dur_pct
82,5,1,1.0,opt_nat,10,10_2,no_S_T,0.0
83,5,1,1.0,opt_nat,10,5_1,no_S_T,0.030806149545313247
84,5,1,1.0,opt_nat,10,5_2,no_S_T,0.0
85,5,1,1.0,opt_nat,10,S_1,S,0.14124338123424496
86,5,1,1.0,opt_nat,10,S_2,S,0.0
87,5,1,1.0,opt_nat,10,T_1,T,0.0
88,5,1,1.0,opt_nat,10,T_2,T,0.1260892345273203
89,5,1,1.0,opt_nat,10,no_num,no_S_T,0.5935418336366551
90,5,1,1.0,opt_nat,11,10_1,no_S_T,0.14271624649916181
91,5,1,1.0,opt_nat,11,10_2,no_S_T,0.10411868014893083
92,5,1,1.0,opt_nat,11,5_1,no_S_T,0.04831851661874609
93,5,1,1.0,opt_nat,11,5_2,no_S_T,0.0
94,5,1,1.0,opt_nat,11,S_1,S,0.12867461468032781
95,5,1,1.0,opt_nat,11,S_2,S,0.0
96,5,1,1.0,opt_nat,11,T_1,T,0.0
97,5,1,1.0,opt_nat,11,T_2,T,0.07453947564911678
98,5,1,1.0,opt_nat,11,no_num,no_S_T,0.5016324664037166
99,5,1,1.0,opt_nat,12,10_1,no_S_T,0.020943035132712177
100,5,1,1.0,opt_nat,12,10_2,no_S_T,0.09860325131379943
101,5,1,1.0,opt_nat,12,5_1,no_S_T,0.0743913296144457
102,5,1,1.0,opt_nat,12,5_2,no_S_T,0.0
103,5,1,1.0,opt_nat,12,S_1,S,0.1433606496656395
104,5,1,1.0,opt_nat,12,S_2,S,0.0
105,5,1,1.0,opt_nat,12,T_1,T,0.0
106,5,1,1.0,opt_nat,12,T_2,T,0.10986405276112143
107,5,1,1.0,opt_nat,12,no_num,no_S_T,0.5528376815122817
108,5,1,1.0,opt_nat,13,10_1,no_S_T,0.26404673366784315
109,5,1,1.0,opt_nat,13,10_2,no_S_T,0.1671412154821979
110,5,1,1.0,opt_nat,13,5_1,no_S_T,0.03138274278818297
111,5,1,1.0,opt_nat,13,5_2,no_S_T,0.0
112,5,1,1.0,opt_nat,13,S_1,S,0.09409851317499535
113,5,1,1.0,opt_nat,13,S_2,S,0.0
114,5,1,1.0,opt_nat,13,T_1,T,0.0
115,5,1,1.0,opt_nat,13,T_2,T,0.07019744906735319
116,5,1,1.0,opt_nat,13,no_num,no_S_T,0.3731333458194275
117,5,1,1.0,opt_nat,14,10_1,no_S_T,0.04075176932057511
118,5,1,1.0,opt_nat,14,10_2,no_S_T,0.0
119,5,1,1.0,opt_nat,14,5_1,no_S_T,0.09972381072398019
120,5,1,1.0,opt_nat,14,5_2,no_S_T,0.0
121,5,1,1.0,opt_nat,14,S_1,S,0.1077058869032894
122,5,1,1.0,opt_nat,14,S_2,S,0.08910559375121196
123,5,1,1.0,opt_nat,14,T_1,T,0.0
124,5,1,1.0,opt_nat,14,T_2,T,0.2382569459289401
125,5,1,1.0,opt_nat,14,no_num,no_S_T,0.4244559933720033
126,5,1,1.0,opt_nat,15,10_1,no_S_T,0.38067014022033274
127,5,1,1.0,opt_nat,15,10_2,no_S_T,0.029270013783814906
128,5,1,1.0,opt_nat,15,5_1,no_S_T,0.06145273393462708
129,5,1,1.0,opt_nat,15,5_2,no_S_T,0.0
130,5,1,1.0,opt_nat,15,S_1,S,0.06823442334137593
131,5,1,1.0,opt_nat,15,S_2,S,0.0
132,5,1,1.0,opt_nat,15,T_1,T,0.0
133,5,1,1.0,opt_nat,15,T_2,T,0.030632167272783117
134,5,1,1.0,opt_nat,15,no_num,no_S_T,0.4297405214470662
135,5,1,1.0,opt_nat,16,10_1,no_S_T,0.30666600168596103
136,5,1,1.0,opt_nat,16,10_2,no_S_T,0.0
137,5,1,1.0,opt_nat,16,5_1,no_S_T,0.07303849155883117
138,5,1,1.0,opt_nat,16,5_2,no_S_T,0.0
139,5,1,1.0,opt_nat,16,S_1,S,0.07287205056338525
140,5,1,1.0,opt_nat,16,S_2,S,0.0
141,5,1,1.0,opt_nat,16,T_1,T,0.0
142,5,1,1.0,opt_nat,16,T_2,T,0.1055686066455088
143,5,1,1.0,opt_nat,16,no_num,no_S_T,0.4418548495463137
144,5,1,2.0,pess_nat,17,10_1,no_S_T,0.08100494590840705
145,5,1,2.0,pess_nat,17,10_2,no_S_T,0.12288939958029892
146,5,1,2.0,pess_nat,17,5_1,no_S_T,0.17955745844427204
147,5,1,2.0,pess_nat,17,5_2,no_S_T,0.0
148,5,1,2.0,pess_nat,17,S_1,S,0.15214948352268776
149,5,1,2.0,pess_nat,17,S_2,S,0.0
150,5,1,2.0,pess_nat,17,T_1,T,0.04765396436911763
151,5,1,2.0,pess_nat,17,T_2,T,0.11870727504588474
152,5,1,2.0,pess_nat,17,no_num,no_S_T,0.2980374731293319
153,5,1,2.0,pess_nat,18,10_1,no_S_T,0.10541928858567487
154,5,1,2.0,pess_nat,18,10_2,no_S_T,0.0
155,5,1,2.0,pess_nat,18,5_1,no_S_T,0.03764532264814452
156,5,1,2.0,pess_nat,18,5_2,no_S_T,0.0
157,5,1,2.0,pess_nat,18,S_1,S,0.18520668972547166
158,5,1,2.0,pess_nat,18,S_2,S,0.0
159,5,1,2.0,pess_nat,18,T_1,T,0.0
160,5,1,2.0,pess_nat,18,T_2,T,0.06078768383323609
161,5,1,2.0,pess_nat,18,no_num,no_S_T,0.6109410152074728
162,5,1,2.0,pess_nat,19,10_1,no_S_T,0.14898158002185424
163,5,1,2.0,pess_nat,19,10_2,no_S_T,0.011827242901772294
164,5,1,2.0,pess_nat,19,5_1,no_S_T,0.1078284199836223
165,5,1,2.0,pess_nat,19,5_2,no_S_T,0.0
166,5,1,2.0,pess_nat,19,S_1,S,0.06504964392954482
167,5,1,2.0,pess_nat,19,S_2,S,0.0
168,5,1,2.0,pess_nat,19,T_1,T,0.0
169,5,1,2.0,pess_nat,19,T_2,T,0.06712946353920032
170,5,1,2.0,pess_nat,19,no_num,no_S_T,0.599183649624006
171,5,1,2.0,pess_nat,20,10_1,no_S_T,0.07304766652364908
172,5,1,2.0,pess_nat,20,10_2,no_S_T,0.0
173,5,1,2.0,pess_nat,20,5_1,no_S_T,0.17513730879528516
174,5,1,2.0,pess_nat,20,5_2,no_S_T,0.0
175,5,1,2.0,pess_nat,20,S_1,S,0.11460902001149173
176,5,1,2.0,pess_nat,20,S_2,S,0.060591829266957664
177,5,1,2.0,pess_nat,20,T_1,T,0.0
178,5,1,2.0,pess_nat,20,T_2,T,0.13859285466990862
179,5,1,2.0,pess_nat,20,no_num,no_S_T,0.4380213207327077
180,5,1,2.0,pess_nat,21,10_1,no_S_T,0.06001991250326745
181,5,1,2.0,pess_nat,21,10_2,no_S_T,0.02014458070410434
182,5,1,2.0,pess_nat,21,5_1,no_S_T,0.07590552988016244
183,5,1,2.0,pess_nat,21,5_2,no_S_T,0.0
184,5,1,2.0,pess_nat,21,S_1,S,0.06345391739352967
185,5,1,2.0,pess_nat,21,S_2,S,0.0
186,5,1,2.0,pess_nat,21,T_1,T,0.10950455670311735
187,5,1,2.0,pess_nat,21,T_2,T,0.13773555459402065
188,5,1,2.0,pess_nat,21,no_num,no_S_T,0.5332359482217981
189,5,1,2.0,pess_nat,22,10_1,no_S_T,0.14471822888513627
190,5,1,2.0,pess_nat,22,10_2,no_S_T,0.0
191,5,1,2.0,pess_nat,22,5_1,no_S_T,0.08697424108092972
192,5,1,2.0,pess_nat,22,5_2,no_S_T,0.0
193,5,1,2.0,pess_nat,22,S_1,S,0.0668809068264607
194,5,1,2.0,pess_nat,22,S_2,S,0.0
195,5,1,2.0,pess_nat,22,T_1,T,0.0
196,5,1,2.0,pess_nat,22,T_2,T,0.12927932924120283
197,5,1,2.0,pess_nat,22,no_num,no_S_T,0.5721472939662704
198,5,1,2.0,pess_nat,23,10_1,no_S_T,0.1343564431722111
199,5,1,2.0,pess_nat,23,10_2,no_S_T,0.07996358368952595
200,5,1,2.0,pess_nat,23,5_1,no_S_T,0.04373572623742776
201,5,1,2.0,pess_nat,23,5_2,no_S_T,0.0
202,5,1,2.0,pess_nat,23,S_1,S,0.07656130661793158
203,5,1,2.0,pess_nat,23,S_2,S,0.0
204,5,1,2.0,pess_nat,23,T_1,T,0.0
205,5,1,2.0,pess_nat,23,T_2,T,0.21008834738586796
206,5,1,2.0,pess_nat,23,no_num,no_S_T,0.45529459289703567
207,5,1,2.0,pess_nat,24,10_1,no_S_T,0.0756214262958784
208,5,1,2.0,pess_nat,24,10_2,no_S_T,0.12629392411996881
209,5,1,2.0,pess_nat,24,5_1,no_S_T,0.08364297076140884
210,5,1,2.0,pess_nat,24,5_2,no_S_T,0.0
211,5,1,2.0,pess_nat,24,S_1,S,0.1573678691183678
212,5,1,2.0,pess_nat,24,S_2,S,0.0
213,5,1,2.0,pess_nat,24,T_1,T,0.0
214,5,1,2.0,pess_nat,24,T_2,T,0.08914140746285099
215,5,1,2.0,pess_nat,24,no_num,no_S_T,0.4679324022415251
216,5,1,2.0,pess_nat,25,10_1,no_S_T,0.16296107906778906
217,5,1,2.0,pess_nat,25,10_2,no_S_T,0.0
218,5,1,2.0,pess_nat,25,5_1,no_S_T,0.16222679522635658
219,5,1,2.0,pess_nat,25,5_2,no_S_T,0.0
220,5,1,2.0,pess_nat,25,S_1,S,0.07954269535084102
221,5,1,2.0,pess_nat,25,S_2,S,0.0
222,5,1,2.0,pess_nat,25,T_1,T,0.0
223,5,1,2.0,pess_nat,25,T_2,T,0.07458534730499058
224,5,1,2.0,pess_nat,25,no_num,no_S_T,0.5206840830500228
225,5,1,2.0,pess_nat,26,10_1,no_S_T,0.23582445855432893
226,5,1,2.0,pess_nat,26,10_2,no_S_T,0.0
227,5,1,2.0,pess_nat,26,5_1,no_S_T,0.11271936688299447
228,5,1,2.0,pess_nat,26,5_2,no_S_T,0.0
229,5,1,2.0,pess_nat,26,S_1,S,0.15317146699804987
230,5,1,2.0,pess_nat,26,S_2,S,0.0
231,5,1,2.0,pess_nat,26,T_1,T,0.031345786493224496
232,5,1,2.0,pess_nat,26,T_2,T,0.12672116847802356
233,5,1,2.0,pess_nat,26,no_num,no_S_T,0.34021775259337866
234,5,1,2.0,pess_nat,27,10_1,no_S_T,0.1778822106801572
235,5,1,2.0,pess_nat,27,10_2,no_S_T,0.11563668974728311
236,5,1,2.0,pess_nat,27,5_1,no_S_T,0.05434349109953662
237,5,1,2.0,pess_nat,27,5_2,no_S_T,0.0
238,5,1,2.0,pess_nat,27,S_1,S,0.051559313618332825
239,5,1,2.0,pess_nat,27,S_2,S,0.10589314059542321
240,5,1,2.0,pess_nat,27,T_1,T,0.0
241,5,1,2.0,pess_nat,27,T_2,T,0.10755248097892686
242,5,1,2.0,pess_nat,27,no_num,no_S_T,0.3871326732803402
243,5,1,2.0,pess_nat,28,10_1,no_S_T,0.10986907493127981
244,5,1,2.0,pess_nat,28,10_2,no_S_T,0.0662341067304013
245,5,1,2.0,pess_nat,28,5_1,no_S_T,0.014548751149271663
246,5,1,2.0,pess_nat,28,5_2,no_S_T,0.0
247,5,1,2.0,pess_nat,28,S_1,S,0.04913375909832295
248,5,1,2.0,pess_nat,28,S_2,S,0.01228822551627542
249,5,1,2.0,pess_nat,28,T_1,T,0.0
250,5,1,2.0,pess_nat,28,T_2,T,0.014454325834083317
251,5,1,2.0,pess_nat,28,no_num,no_S_T,0.7334717567403656
252,5,1,2.0,pess_nat,29,10_1,no_S_T,0.1375008445721712
253,5,1,2.0,pess_nat,29,10_2,no_S_T,0.0
254,5,1,2.0,pess_nat,29,5_1,no_S_T,0.0
255,5,1,2.0,pess_nat,29,5_2,no_S_T,0.0
256,5,1,2.0,pess_nat,29,S_1,S,0.08353394767011672
257,5,1,2.0,pess_nat,29,S_2,S,0.050798907162505985
258,5,1,2.0,pess_nat,29,T_1,T,0.0
259,5,1,2.0,pess_nat,29,T_2,T,0.07409857000549266
260,5,1,2.0,pess_nat,29,no_num,no_S_T,0.6540677305897133
261,5,1,2.0,pess_nat,30,10_1,no_S_T,0.17678155853528002
262,5,1,2.0,pess_nat,30,10_2,no_S_T,0.0
263,5,1,2.0,pess_nat,30,5_1,no_S_T,0.17186371273102155
264,5,1,2.0,pess_nat,30,5_2,no_S_T,0.0
265,5,1,2.0,pess_nat,30,S_1,S,0.0
266,5,1,2.0,pess_nat,30,S_2,S,0.0
267,5,1,2.0,pess_nat,30,T_1,T,0.0
268,5,1,2.0,pess_nat,30,T_2,T,0.25871148172785924
269,5,1,2.0,pess_nat,30,no_num,no_S_T,0.3926432470058392
270,5,1,2.0,pess_nat,31,10_1,no_S_T,0.10189000097523374
271,5,1,2.0,pess_nat,31,10_2,no_S_T,0.12400866348846284
272,5,1,2.0,pess_nat,31,5_1,no_S_T,0.04213500144348313
273,5,1,2.0,pess_nat,31,5_2,no_S_T,0.0
274,5,1,2.0,pess_nat,31,S_1,S,0.1840363810372063
275,5,1,2.0,pess_nat,31,S_2,S,0.0
276,5,1,2.0,pess_nat,31,T_1,T,0.0
277,5,1,2.0,pess_nat,31,T_2,T,0.021530008282322412
278,5,1,2.0,pess_nat,31,no_num,no_S_T,0.5263999447732916
279,5,1,2.0,pess_nat,32,10_1,no_S_T,0.2030470774185505
280,5,1,2.0,pess_nat,32,10_2,no_S_T,0.0
281,5,1,2.0,pess_nat,32,5_1,no_S_T,0.13450271652169785
282,5,1,2.0,pess_nat,32,5_2,no_S_T,0.0
283,5,1,2.0,pess_nat,32,S_1,S,0.07903034666644487
284,5,1,2.0,pess_nat,32,S_2,S,0.0
285,5,1,2.0,pess_nat,32,T_1,T,0.08647058823529412
286,5,1,2.0,pess_nat,32,T_2,T,0.13269935052456897
287,5,1,2.0,pess_nat,32,no_num,no_S_T,0.36424992063344375
288,5,1,3.0,pess_inv,33,10_1,no_S_T,0.0
289,5,1,3.0,pess_inv,33,10_2,no_S_T,0.07211285008951605
290,5,1,3.0,pess_inv,33,5_1,no_S_T,0.0361429634844078
291,5,1,3.0,pess_inv,33,5_2,no_S_T,0.0
292,5,1,3.0,pess_inv,33,S_1,S,0.17384139130436582
293,5,1,3.0,pess_inv,33,S_2,S,0.0496801998223579
294,5,1,3.0,pess_inv,33,T_1,T,0.08776407296627489
295,5,1,3.0,pess_inv,33,T_2,T,0.07553394113297537
296,5,1,3.0,pess_inv,33,no_num,no_S_T,0.5049245812001022
297,5,1,3.0,pess_inv,34,10_1,no_S_T,0.04440742051387005
298,5,1,3.0,pess_inv,34,10_2,no_S_T,0.0
299,5,1,3.0,pess_inv,34,5_1,no_S_T,0.013437426489780267
300,5,1,3.0,pess_inv,34,5_2,no_S_T,0.0
301,5,1,3.0,pess_inv,34,S_1,S,0.15862578735443705
302,5,1,3.0,pess_inv,34,S_2,S,0.0
303,5,1,3.0,pess_inv,34,T_1,T,0.0
304,5,1,3.0,pess_inv,34,T_2,T,0.12384388788945092
305,5,1,3.0,pess_inv,34,no_num,no_S_T,0.6596854777524617
306,5,1,3.0,pess_inv,35,10_1,no_S_T,0.03786137134318064
307,5,1,3.0,pess_inv,35,10_2,no_S_T,0.0
308,5,1,3.0,pess_inv,35,5_1,no_S_T,0.04919988570067503
309,5,1,3.0,pess_inv,35,5_2,no_S_T,0.0
310,5,1,3.0,pess_inv,35,S_1,S,0.05076769651474572
311,5,1,3.0,pess_inv,35,S_2,S,0.0
312,5,1,3.0,pess_inv,35,T_1,T,0.0
